# C-BASS North Stokes I, measured 2013-06-25; input gains are linear, not dB.
# Input SHA256: d6557ecc8c8ff98e57487f1974ae8f9e45e07c78b06b8d0b549f1108257e7a25
# Response = (abs(I1)+abs(I2))/2, divided by its maximum.
# No spectral or calibration weighting has been applied here.
# Frequency [GHz]  Linear relative response
4.000000000000e+00 1.1394736415900947e-06
4.010000000000e+00 1.4519059401733777e-06
4.020000000000e+00 7.0623830576730147e-07
4.030000000000e+00 1.6187894753403615e-06
4.040000000000e+00 1.1949371418224507e-06
4.050000000000e+00 1.3794394652061672e-06
4.060000000000e+00 2.3825363192580327e-06
4.070000000000e+00 4.6407205204619917e-07
4.080000000000e+00 2.7633910591019853e-06
4.090000000000e+00 1.2751195103227296e-06
4.100000000000e+00 7.1497863668143858e-07
4.110000000000e+00 3.1921775741631710e-06
4.120000000000e+00 1.5092226361175549e-06
4.130000000000e+00 3.7310162892288307e-06
4.140000000000e+00 4.1922126266042020e-07
4.150000000000e+00 1.1182750778058071e-06
4.160000000000e+00 6.7247503668842661e-06
4.170000000000e+00 5.9125058132410922e-06
4.180000000000e+00 1.2089441168231946e-05
4.190000000000e+00 9.2870083017476926e-06
4.200000000000e+00 1.8427635244904210e-05
4.210000000000e+00 4.1670275817752317e-05
4.220000000000e+00 1.4858508838215172e-05
4.230000000000e+00 4.8738895665548645e-05
4.240000000000e+00 2.2861601664486204e-05
4.250000000000e+00 1.4326812408486065e-05
4.260000000000e+00 6.2259564102548460e-05
4.270000000000e+00 5.2331052729091117e-05
4.280000000000e+00 3.3304705392095141e-04
4.290000000000e+00 5.8225254877439377e-04
4.300000000000e+00 7.5632905398880586e-04
4.310000000000e+00 1.0605778398245821e-03
4.320000000000e+00 1.1374358898390720e-03
4.330000000000e+00 1.5735366863667720e-03
4.340000000000e+00 1.9475425635285439e-03
4.350000000000e+00 2.5258151116879794e-03
4.360000000000e+00 4.0962193582251743e-03
4.370000000000e+00 5.3497392567131491e-03
4.380000000000e+00 8.8662733024040437e-03
4.390000000000e+00 1.3578420463196709e-02
4.400000000000e+00 2.0143388616184255e-02
4.410000000000e+00 3.1385655484343619e-02
4.420000000000e+00 4.3921924829791750e-02
4.430000000000e+00 6.7873842335479481e-02
4.440000000000e+00 9.3683728966925825e-02
4.450000000000e+00 1.2711700406850709e-01
4.460000000000e+00 1.6578911930868306e-01
4.470000000000e+00 2.1260788069375705e-01
4.480000000000e+00 2.6354177971449871e-01
4.490000000000e+00 3.1273564768480616e-01
4.500000000000e+00 3.4705370245230233e-01
4.510000000000e+00 3.9450446689262741e-01
4.520000000000e+00 4.2157129334369259e-01
4.530000000000e+00 4.6277242058477530e-01
4.540000000000e+00 4.9345929025561713e-01
4.550000000000e+00 5.5596499634209418e-01
4.560000000000e+00 6.2488286285437600e-01
4.570000000000e+00 6.7014320802053562e-01
4.580000000000e+00 6.7534471525334439e-01
4.590000000000e+00 7.5030314188508251e-01
4.600000000000e+00 8.1214158348045962e-01
4.610000000000e+00 8.6713227649808466e-01
4.620000000000e+00 8.7692466450755813e-01
4.630000000000e+00 8.6244574141136143e-01
4.640000000000e+00 9.0994691001060191e-01
4.650000000000e+00 9.8352235553979661e-01
4.660000000000e+00 9.9185362742400651e-01
4.670000000000e+00 1.0000000000000000e+00
4.680000000000e+00 9.9874181547361596e-01
4.690000000000e+00 9.4165934053843248e-01
4.700000000000e+00 9.4650160519163085e-01
4.710000000000e+00 9.5893553826130229e-01
4.720000000000e+00 9.2531659803084654e-01
4.730000000000e+00 9.0303446899303275e-01
4.740000000000e+00 9.0492986170646972e-01
4.750000000000e+00 8.4734148301971624e-01
4.760000000000e+00 8.4033590763538812e-01
4.770000000000e+00 7.7869049333992157e-01
4.780000000000e+00 8.2708518576516166e-01
4.790000000000e+00 7.7988104541398440e-01
4.800000000000e+00 7.8379209534633021e-01
4.810000000000e+00 7.5690134609023474e-01
4.820000000000e+00 7.2874939840722464e-01
4.830000000000e+00 7.1378977784889275e-01
4.840000000000e+00 6.5046487268132169e-01
4.850000000000e+00 6.4231935522661476e-01
4.860000000000e+00 4.8355774041267602e-01
4.870000000000e+00 3.5914950651045818e-01
4.880000000000e+00 2.0608962344369705e-01
4.890000000000e+00 9.0353147564023767e-02
4.900000000000e+00 2.6847469936386502e-02
4.910000000000e+00 5.0015420765347710e-03
4.920000000000e+00 7.4059978680563669e-04
4.930000000000e+00 7.4947660385736925e-05
4.940000000000e+00 2.5777739406580835e-05
4.950000000000e+00 7.1814595150567906e-06
4.960000000000e+00 7.1318510389574334e-06
4.970000000000e+00 1.3994723957456284e-05
4.980000000000e+00 1.5927703005988653e-05
4.990000000000e+00 2.3328198359965895e-05
5.000000000000e+00 2.2054851471628389e-05
5.010000000000e+00 2.7818544518157018e-04
5.020000000000e+00 1.8557362992602231e-03
5.030000000000e+00 6.2932410085326787e-03
5.040000000000e+00 1.4798521205726322e-02
5.050000000000e+00 2.6706022057196126e-02
5.060000000000e+00 3.9196831040403557e-02
5.070000000000e+00 4.8708688796064499e-02
5.080000000000e+00 5.0983384140384037e-02
5.090000000000e+00 4.2725156204958370e-02
5.100000000000e+00 2.3778728201613763e-02
5.110000000000e+00 8.6503012314770381e-03
5.120000000000e+00 2.3315094482150803e-03
5.130000000000e+00 4.7325329965809492e-04
5.140000000000e+00 1.2038945805613359e-04
5.150000000000e+00 1.4539784115268767e-05
5.160000000000e+00 1.8640363312085052e-05
5.170000000000e+00 2.7226165329133881e-05
5.180000000000e+00 1.8617042973500272e-05
5.190000000000e+00 4.2044872664830263e-05
5.200000000000e+00 1.1929763226329558e-05
5.210000000000e+00 8.4977867312697000e-06
5.220000000000e+00 1.5295544568142640e-05
5.230000000000e+00 1.8362560450141606e-05
5.240000000000e+00 2.5427130508965216e-05
5.250000000000e+00 4.5333086447413465e-05
5.260000000000e+00 3.2202035334867661e-04
5.270000000000e+00 1.1939030643705207e-03
5.280000000000e+00 3.5453517128599607e-03
5.290000000000e+00 9.9230238441729551e-03
5.300000000000e+00 2.0483850371374551e-02
5.310000000000e+00 4.1766873329609766e-02
5.320000000000e+00 7.9610642367889783e-02
5.330000000000e+00 1.2439649002257877e-01
5.340000000000e+00 1.6304313798734571e-01
5.350000000000e+00 1.9710140288231728e-01
5.360000000000e+00 2.0755121139527474e-01
5.370000000000e+00 2.1716732454324306e-01
5.380000000000e+00 2.2862128246978239e-01
5.390000000000e+00 2.3075980711305374e-01
5.400000000000e+00 2.3335202020699780e-01
5.410000000000e+00 2.2517982481443444e-01
5.420000000000e+00 2.0628853497571684e-01
5.430000000000e+00 2.0687866991595663e-01
5.440000000000e+00 1.9292883773497344e-01
5.450000000000e+00 1.7094672625158247e-01
5.460000000000e+00 1.4226008908772395e-01
5.470000000000e+00 1.2413958455901379e-01
5.480000000000e+00 1.0474827880363177e-01
5.490000000000e+00 9.9913730581124655e-02
5.500000000000e+00 8.4034551425280532e-02
5.510000000000e+00 7.1822246659938152e-02
5.520000000000e+00 6.1998694609232199e-02
5.530000000000e+00 4.8117140431512682e-02
5.540000000000e+00 3.8422546580352504e-02
5.550000000000e+00 2.9586040080595823e-02
5.560000000000e+00 2.1568259997268777e-02
5.570000000000e+00 1.7182966717517741e-02
5.580000000000e+00 1.2422698059158030e-02
5.590000000000e+00 1.0477790244978804e-02
5.600000000000e+00 7.3821942789541887e-03
5.610000000000e+00 4.8190847584558931e-03
5.620000000000e+00 3.8781385251545238e-03
5.630000000000e+00 2.2842135627666044e-03
5.640000000000e+00 1.6251336990175743e-03
5.650000000000e+00 1.0613253529810115e-03
5.660000000000e+00 5.3334081095475375e-04
5.670000000000e+00 5.5375320729648579e-04
5.680000000000e+00 2.3353486232217385e-04
5.690000000000e+00 1.9284401194865131e-04
5.700000000000e+00 1.6256502322393261e-04
5.710000000000e+00 3.6270575732196533e-05
5.720000000000e+00 1.1036617471439502e-04
5.730000000000e+00 3.2807190831138820e-05
5.740000000000e+00 4.4130182098767840e-05
5.750000000000e+00 4.3477646181780044e-05
5.760000000000e+00 3.1292207173569301e-06
5.770000000000e+00 3.6647739427993339e-05
5.780000000000e+00 3.4138512434187747e-06
5.790000000000e+00 1.4013044888147679e-05
5.800000000000e+00 1.4957764158855123e-05
5.810000000000e+00 1.2564321610175040e-06
5.820000000000e+00 1.7572120681654286e-05
5.830000000000e+00 3.5500093308419440e-06
5.840000000000e+00 9.9680270310889101e-06
5.850000000000e+00 1.0142024075261516e-05
5.860000000000e+00 4.2066717736849421e-06
5.870000000000e+00 1.2211253295476028e-05
5.880000000000e+00 5.7384109295433277e-06
5.890000000000e+00 5.5359003782643074e-06
5.900000000000e+00 3.5703887284057888e-06
5.910000000000e+00 6.8237505373899818e-07
5.920000000000e+00 2.6311561447954559e-06
5.930000000000e+00 2.5799131730993376e-07
5.940000000000e+00 9.9234026155064389e-07
5.950000000000e+00 8.6539635529090734e-07
5.960000000000e+00 2.3795148045104984e-07
5.970000000000e+00 9.6574133966203339e-07
5.980000000000e+00 8.2526680259952941e-08
5.990000000000e+00 4.8254645650255110e-07
6.000000000000e+00 4.7405743887852645e-07
